"PM_INSTANCE_ID","PM_TRANS_DEFN_SET","PM_TRANS_DEFN_ID","PM_AGENTID","PM_TRANS_STATUS","OPRID","PM_PERF_TRACE","PM_CONTEXT_VALUE1","PM_CONTEXT_VALUE2","PM_CONTEXT_VALUE3","PM_CONTEXTID_1","PM_CONTEXTID_2","PM_CONTEXTID_3","PM_PROCESS_ID","PM_AGENT_STRT_DTTM","PM_MON_STRT_DTTM","PM_TRANS_DURATION","PM_PARENT_INST_ID","PM_TOP_INST_ID","PM_METRIC_VALUE1","PM_METRIC_VALUE2","PM_METRIC_VALUE3","PM_METRIC_VALUE4","PM_METRIC_VALUE5","PM_METRIC_VALUE6","PM_METRIC_VALUE7","SYNCDTTM","PM_ADDTNL_DESCR"
1057047286120496,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.17.373000000 AM,07-MAR-25 09.25.25.430656000 AM,35,0,1057047286120496,21,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_1/EMPLOYEE/HRMS/s/WEBLIB_PTPN.PTPN_ISCRIPT.FieldFormula.IScript_Notification_Count?name="
1057047286120497,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICScript",3,2,6,0,07-MAR-25 09.25.17.374000000 AM,07-MAR-25 09.25.25.432656000 AM,33,1057047286120496,1057047286120496,69520,55837,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120498,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.19.301000000 AM,07-MAR-25 09.25.25.459656000 AM,6,0,1057047286120498,0,302,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_newwin/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_NAVBAR.GBL?ICDoModelessIframe=1&ICDoModelessIframe=1"
1057047286120499,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.19.329000000 AM,07-MAR-25 09.25.25.350656000 AM,115,0,1057047286120499,6719,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_2/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_NAVBAR.GBL?ICDoModelessIframe=1&ICDoModelessIframe=1"
1057047286120500,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.19.333000000 AM,07-MAR-25 09.25.25.356657000 AM,109,1057047286120499,1057047286120499,69642,102881,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120501,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.20.660000000 AM,07-MAR-25 09.25.25.250657000 AM,215,0,1057047286120501,3488,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_newwin/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_MENU_COMP.GBL?ICDoModal=1&ICGrouplet=1&bReload=y&bTarget=y"
1057047286120502,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.20.662000000 AM,07-MAR-25 09.25.25.253657000 AM,212,1057047286120501,1057047286120501,72607,112685,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120503,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.25.174000000 AM,07-MAR-25 09.25.25.417657000 AM,48,0,1057047286120503,2473,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_newwin/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_MENU_COMP.GBL?sa=&FLDR=PT_PEOPLETOOLS&ICDoModal=1&ICGrouplet=1&bReload=y&bTarget=y"
1057047286120504,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.25.175000000 AM,07-MAR-25 09.25.25.419657000 AM,46,1057047286120503,1057047286120503,72701,90735,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545653,1,400,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4767,07-MAR-25 09.25.25.177000000 AM,07-MAR-25 09.25.30.426161000 AM,40,1057047286120504,1057047286120503,6,0.145,0,5.81,90,28,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545654,1,401,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PTNUI_BC_MENU_PG","Launch Page/Search Page",10,19,20,4767,07-MAR-25 09.25.25.186000000 AM,07-MAR-25 09.25.30.453162000 AM,13,1056991451545653,1057047286120503,41662,4,0,0,0,0,"Launch Page/Search Page",07-MAR-25 01.25.06.000000000 AM,""
1056991451545655,1,412,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4767,07-MAR-25 09.25.25.217000000 AM,07-MAR-25 09.25.30.466162000 AM,0,1056991451545653,1057047286120503,2,1012,51,6,18,3469," ",07-MAR-25 01.25.06.000000000 AM,""
1057012926382129,1,400,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4857,07-MAR-25 09.25.33.505000000 AM,07-MAR-25 09.25.33.431166000 AM,35,1057047286120506,1057047286120505,4,0.114,0,1.566,84,24,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1057012926382130,1,401,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PTNUI_BC_MENU_PG","Launch Page/Search Page",10,19,20,4857,07-MAR-25 09.25.33.513000000 AM,07-MAR-25 09.25.33.456167000 AM,10,1057012926382129,1057047286120505,10302,4,0,0,0,0,"Launch Page/Search Page",07-MAR-25 01.25.06.000000000 AM,""
1057012926382131,1,412,13,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4857,07-MAR-25 09.25.33.540000000 AM,07-MAR-25 09.25.33.466167000 AM,0,1057012926382129,1057047286120505,0,946,5,6,17,3469," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120505,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.33.501000000 AM,07-MAR-25 09.25.35.423670000 AM,42,0,1057047286120505,1286,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_newwin/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_MENU_COMP.GBL?sa=&FLDR=PERFORMANCE_MONITOR&ICDoModal=1&ICGrouplet=1&bReload=y&bTarget=y"
1057047286120506,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.33.502000000 AM,07-MAR-25 09.25.35.425671000 AM,40,1057047286120505,1057047286120505,72721,67487,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120507,1,101,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","View Page",3,2,1,0,07-MAR-25 09.25.35.035000000 AM,07-MAR-25 09.25.35.420671000 AM,45,0,1057047286120507,1647,200,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psc/ps_newwin/EMPLOYEE/HRMS/c/NUI_FRAMEWORK.PTNUI_MENU_COMP.GBL?sa=&FLDR=PM_ADMINISTRATION_FLD&ICDoModal=1&ICGrouplet=1&bReload=y&bTarget=y"
1057047286120508,1,115,11,"1","PS"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","ICPanel",3,2,6,0,07-MAR-25 09.25.35.036000000 AM,07-MAR-25 09.25.35.422671000 AM,43,1057047286120507,1057047286120507,72729,73038,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545656,1,400,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4767,07-MAR-25 09.25.35.038000000 AM,07-MAR-25 09.25.40.428176000 AM,38,1057047286120508,1057047286120507,6,0.107,0,0.487,84,24,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545657,1,401,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PTNUI_BC_MENU_PG","Launch Page/Search Page",10,19,20,4767,07-MAR-25 09.25.35.049000000 AM,07-MAR-25 09.25.40.456176000 AM,10,1056991451545656,1057047286120507,19482,4,0,0,0,0,"Launch Page/Search Page",07-MAR-25 01.25.06.000000000 AM,""
1056991451545658,1,412,10,"1","PS"," ","PTNUI_MENU_COMP.GBL","PSAPPSRV","ICPanel",14,15,16,4767,07-MAR-25 09.25.35.076000000 AM,07-MAR-25 09.25.40.466176000 AM,0,1056991451545656,1057047286120507,0,1154,13,8,17,3469," ",07-MAR-25 01.25.06.000000000 AM,""
1056991451545659,1,400,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","PortalRegistry",14,15,16,4767,07-MAR-25 09.25.38.210000000 AM,07-MAR-25 09.25.40.461176000 AM,5,1057047286120513,1057047286120512,0,0,0,1.775,65,4,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1056991451545660,1,412,10,"1","PS"," ","EMPLOYEE","PSAPPSRV","PortalRegistry",14,15,16,4767,07-MAR-25 09.25.38.215000000 AM,07-MAR-25 09.25.40.466177000 AM,0,1056991451545659,1057047286120512,0,162,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
